hata,hata_tipi
Kule 33kat duvar imalatında 7ve 9sıralarda ankraj lamalarının perde tarafına tabanca çivisi çakılmaması duvarın rüzgar darbe alarak yıkılması ,Yapım Yöntemine Uygunsuzluk
Zemin kat duvar hatıl kapı üzeri lento imalat kusurları ,İmalat Hatası
Ayrık podyum zemin kat duvar imalat kusurları ,İmalat Hatası
6bodrum kat çimento esaslı kaba sıva hakkında ,İmalat Hatası
VT15 asansör kuyu içi tamiratlarındaki bozukluklar hk ,İmalat Hatası
Otopark 2bodrum kat AB02069O DEPO duvarı çekirdek perde arası birleşiminde diş oluşması ,İmalat Hatası
Zemin kat duvar imalatı hakkında ,İmalat Hatası
VT09 asansör kuyu içi duvar arkası çes imalatının kalınlığı hk ,Yapım Yöntemine Uygunsuzluk
1 bodrum kat bitmiş sıva imalatına sonradan kırılarak borulama yapılması borulamanın paslı demir teli yapılması ,Yapım Yöntemine Uygunsuzluk
1bodrum kat duvar yüzeyleri ıslatılmadan  nemlendirilmeden sıva imalatının yapılması hk ,Yapım Yöntemine Uygunsuzluk
Ayrık podyum zemin kat AG00041O IT ODASI duvarında cm den bini yapılması özensiz duvar yapımı hk ,Yapım Yöntemine Uygunsuzluk
2 Bodrum Kat  AYK1A6 Aksları Arası Otopark AB02048B REZERV ALAN OTOPARKI Ara Duvarı ÇES İmalatı Fuga Bozuklukları ,İmalat Hatası
28kat SM01 şaft duvarı imalatı hakkında ,İmalat Hatası
Zemin kat AG00053TİCARİ ALAN 19BFBG aksları arası hatıl üzeri duvarda cm den küçük parça kullanılması ,Yapım Yöntemine Uygunsuzluk
1 Bodrum Kat AB01040D Rezerv Alan Tesisat Galerisi ÇES İmalatı Kusurları ,İmalat Hatası
1 Bodrum Kat 1516 K1A8 aksları arası Otopark duvarları ÇES İmalatı Kusurları ,İmalat Hatası
Bodrum Katlar Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması Genel ,İmalat Hatası
1 Bodrum kat AB01050O Temizlik Odasında mekanik tesisat yapılmadan sıva imalatının yapılması ,İmalat Hatası
1 Bokrum Kat AB01075B Operasyon AB01061O Koridor Akü Odası kapı lentolarının cm kotundan düşük dökülmesi hk ,İmalat Hatası
Zemin kat hatıl imalatları hk ,İmalat Hatası
Kule 10kat AB10001O Temizlik Odası sıva ano teslimatı yapılmadan sıva imalatının yapılması ,İmalat Hatası
Bitişik podyum 1kat AP01037O Yangın Güvenlik Holü duvar imalatı hk ,İmalat Hatası
32kat hatıl imalatları hakkında ,İmalat Hatası
VT05 asansörü 33 34kat kuyu içi tamiratları hakkında ,İmalat Hatası
Kule katları boyunca elektrik odalarında lentosuz yapılan duvar imalatları hakkında ,İmalat Hatası
29kat hatıl demiri imalatı hakkında ,İmalat Hatası
7bodrum kat hatıl filizleri hakkında ,İmalat Hatası
Kule 10kat Alçı Sıva İmalatı Fuga Bozuklukları ,Yapım Yöntemine Uygunsuzluk
Kule 11kat Alçı Sıva İmalatı Fuga Bozuklukları ,İmalat Hatası
Kule 12kat Alçı Sıva İmalatı Fuga Bozuklukları ,İmalat Hatası
Kule 13kat Alçı Sıva İmalatı Fuga Bozuklukları ,İmalat Hatası
Otopark 7bk sığınak WC gazbeton duvarlarında alt sıranın devamlı suyun içinde kalması aşırı yıpranması ,İmalat Hatası
3bodrum kat AB03032O DEPO duvarı ÇES İmalatı Kusurları ,İmalat Hatası
Zemin kat hatıl filizleri hakkında ,İmalat Hatası
Zemin kat IT odası alçı imalatı hakkında ,İmalat Hatası
6 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
5 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
4 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
3 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
2 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
1 Bodrum Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması ,İmalat Hatası
2 Bodrum Kat AB02045E Tesisat Galerisi Otopark Tarafı Çimento Esaslı Sıva Perdah Bozukluğu ,İmalat Hatası
4bodrum kat çimento esaslı sıvaların yüzey çatlaması hakkında ,İmalat Hatası
Kule 14kat Alçı Sıva İmalatı Fuga Bozuklukları Bazı Mahallerde Fuga Açılmaması ,İmalat Hatası
Kule 23kat A23003 OFİS duvarında cm den büyük rezervasyon üzerine lento konulmadan duvarının örülmesi ,Yapım Yöntemine Uygunsuzluk
Kule 23kat duvarhatıl imalat kusurları ,İmalat Hatası
Kule 151617 kat SM07 mekanik şaft duvarı alçı sıva imalatı hk ,İmalat Hatası
Kule 1kat VT06VT07 asansörü kapı üzeri lentosunun cm kotundan yüksek dökülmesi hk ,Yapım Yöntemine Uygunsuzluk
Kule zemin kat AG00007O Elektrik Odası AG00035O IT Odası kapı üzeri lentonun duvara binilerinin cm den olması ,İmalat Hatası
Ayrık podyum 1kat duvarhatıl imalat kusurları ,İmalat Hatası
Ayrık podyum 1kat AP01035K Asansör holü kapı üzeri hatıl imalatı hk ,İmalat Hatası
WC ‘lerde lentosuz yapılan pencereler hakkında ,İmalat Hatası
Üst hatılları tamamlanmayan kısımları hakkında ,İmalat Hatası
Yağmur sularına alınmayan önlemler sonucu zemin kat alçı imalatlarının suyu absorbe etmesi ,Yapım Yöntemine Uygunsuzluk
Kule 18 19 kat SM07 mekanik şaft duvarı perde birleşimde file konulmaması ,İmalat Hatası
Zemin kat mekanik ekibi tarafından hatıla zarar verilmesi ,İmalat Hatası
Kule 16ve 22 Kat çimento esaslı sıva yüzeylerinde çatlak oluşması ,İmalat Hatası
Kule 16ve 22 Kat çimento esaslı sıva yüzeylerinde çatlak oluşması ,İmalat Hatası
6bodrum kat çimento esaslı sıvaların yüzey çatlaması hakkında ,İmalat Hatası
5bodrum kat çimento esaslı sıvaların yüzey çatlaması hakkında ,İmalat Hatası
zemin kat yağmur suyu alan cepheye alçı sıva imalatı yapılması ,İmalat Hatası
zemin kat su alan şaft açıkları hakkında ,İmalat Hatası
Vt14 asansörü kapı arkası sıvaları mm yapılması hakkında ,İmalat Hatası
podyum 1kat şaftların içinde malzeme file vs olması hakkında ,İmalat Hatası
5bodrum kat duvar imalatında eski yıpranmış gazbetonları kullanılması hakkında ,Yapım Yöntemine Uygunsuzluk
Alçı sıva imalatlarının yağmur suyundan ıslanması zarar görmesi ,Malzeme Hatası
Kule 10 Kat çimento esaslı sıva yüzeylerinde çatlak oluşması ,Yapım Yöntemine Uygunsuzluk
Kule 28kat elektrik odası desant ucuna kasa konulmadan alçı sıvasının yapılması ,Malzeme Hatası
Kule Bitişik Podyum 1 Kat Çimento Esaslı Sıva Yüzeylerinde Çatlak Oluşması Perdah Bozukluğu ,Yapım Yöntemine Uygunsuzluk
Otopark 6bodrum kat sıva imalatında köşe profillerinin su alması paslanması ,İmalat Hatası
Zemin kat AG00110O KORİDOR duvarın yatay hatıl birlikte yatayda ipinden kaçması ,İmalat Hatası
Zemin kat AG00014KAFETERYA duvarına hatıl yapımı sırasında zarar verilmesi ,İmalat Hatası
Bodrum katlar alçı sıva imalatlarının sudan ıslanması zarar görmesi ,İmalat Hatası
Ayrık podyum 1kat AP01026 Ticari Alan duvarında dikey hatılın şakülünden kaçması ,İmalat Hatası
Uygun Olmayan Stoklama ,Malzeme Hatası
Uygun Olmayan Stoklama ,Malzeme Hatası
Yangın Tesisatın Korunmaması ,İmalat Hatası
Çelik boruların uygun olmayan şekilde depolanması ,İmalat Hatası
Havalandırma kanallarının uygun olmayan şekilde şantiyeye getirilmesi ,İmalat Hatası
Uygun olmayan havalandırma kanalı imalatı ,İmalat Hatası
Onay süreci tamamlanmadan şantiyeye malzeme girişi ,İmalat Hatası
Siyah Çelik Boruların Çürümesi ,İmalat Hatası
Isıtmasoğutma borularının yardımcı malzemelerin taşıyıcı malzemelerin paslanması ,İmalat Hatası
Uygun olmayan havalandırma kanalları ,İmalat Hatası
Uygun olmayan havalandırma kanalları ,İmalat Hatası
Uygun olmayan havalandırma kanalları ,İmalat Hatası
Uygun olmayan havalandırma kanalları ,İmalat Hatası
Kabloların korumasız düzensiz olarak çekilmesi ,Yapım Yöntemine Uygunsuzluk
Aydınlatma armatür kablo bağlantılarının korumasız olarak yapılması ,Yapım Yöntemine Uygunsuzluk
Aydınlatma armatür kablo bağlantılarının projedeki bağlantı detayına uygun yapılmaması ,Yapım Yöntemine Uygunsuzluk
Asansör Kuyu Aydınkatmalarının Şartnameye uygun yapılmaması ,Yapım Yöntemine Uygunsuzluk
Asansör Kuyu Aydınkatmalarının Şartnameye uygun yapılmaması ,Yapım Yöntemine Uygunsuzluk
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Kablo tavası yapım yöntemine uygun imalat yapılmaması ,Yapım Yöntemine Uygunsuzluk
Marka onayı olmayan malzeme kullanılması ,Yapım Yöntemine Uygunsuzluk
Uygunsıuz borulama yapılması ,Yapım Yöntemine Uygunsuzluk
Topraklama yapım yöntemine uygun imalat yapılmaması ,Malzeme Hatası
Karot kesim yapılırken tava içindeki kabloların korunmaması ,Yapım Yöntemine Uygunsuzluk
İmalatı tamamlanmamış busbar tesisatının koruma altına alınmaması ,Yapım Yöntemine Uygunsuzluk
Güvenlik hattı olmayan kablo aydınlatma sortisi yapılması ,Yapım Yöntemine Uygunsuzluk
İş sırasına uyulmaması ,Yapım Yöntemine Uygunsuzluk
Güvenlik hattı olmayan kablo aydınlatma sortisi yapılması ,Yapım Yöntemine Uygunsuzluk
Uygunsuz borulama yapılması ,Yapım Yöntemine Uygunsuzluk
Kule 35 kat 2etap 1562016050 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 15etap 1bk350010 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Kule Zemin Kat Beton Hattı Çevresi Temizlik hk ,Yapım Yöntemine Uygunsuzluk
Rekreasyon tarafı 7bk dış cephe perdeleri tayrot delik tamiratı hk ,Yapım Yöntemine Uygunsuzluk
B8  zemin kat 010  600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
B9  zemin kat 010  600 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 36 kat 1etap 1605016480 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum zemin kat 010680 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
B kule 32kat 14330  14760 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
B kule 33kat 14760 15190 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
B Blok FS01 merdiveni 30 33katları arası 13470  15190 kotları arası kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Kule 16910 kotu 1etap döşemesinde cephe ankrajlarının gömülü kalması yukarda kalması bozuk perdah ,İmalat Hatası
B Blok FS02 merdiveni 28 33katları arası 12610  15190 kotları arası kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Podyum2 1kat 680 1290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
P15 etap zemin kat 010600 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Kule 36 kat 2etap 1605016480 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Şantiye Sahasında Onay Alınmadan Depo Alanları Oluşturulması ,Yapım Yöntemine Uygunsuzluk
1bodrum kat tavanı 010 kotu döşemesi sehim kontrolü ,Yapım Yöntemine Uygunsuzluk
B2 zemin kat FS09 merdiveni 343 kotu akan beton temizliğinin tam yapılmaması ,Yapım Yöntemine Uygunsuzluk
Podyum1 1kat 680 1290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 37 kat 1etap 1605016480 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
P11a etap zemin kat 010600 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
P10 etap zemin kat 010600 670 kotları arası döşemekolonperde kaba yapı kusurları ,İmalat Hatası
Para girişi rampa uç kısmında C60 sınıfı beton yerine C50 sınıfı beton dökülmesi ,Yapım Yöntemine Uygunsuzluk
1kat teras bölgesi 600 kotu 7K2B4 K2A4AZ 13  AJAK aksları arası genel temizlik hakkında ,Yapım Yöntemine Uygunsuzluk
Podyum2 2kat 1290 1790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 37 kat 2etap 1648016910 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 38 kat 1etap 1691017340 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
P11b etap zemin kat 010600 kotları arası döşemekolon kaba yapı kusurları ,İmalat Hatası
Kule 1777018200 kotları arası ATS nolu kolonda ‘’A detayı’’ perdesinde paspayı azlığı segregasyon oluşması ,İmalat Hatası
6bodrum kat dilatasyon perdesi şişme yapması hakkında ,İmalat Hatası
7bodrum kat rekreasyon alanı izolasyonu hakkında ,Yapım Yöntemine Uygunsuzluk
Podyum 2290 kotu döşemenin yüksek dökülmesi hakkında ,İmalat Hatası
Podyum2 3kat 1790 2290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum1 2kat 1290 1790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Kule 38 kat 2etap 1691017340 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 17340 kotu 2etap döşemesi AK3919 AK3920 AN3923 no’lu kirişlere kumkumlu şerbet dökülmesi ATS no’lu kolon başında kum dökülmesi köpüğün boşluk oluşturması ,Malzeme Hatası
Kule 1777018200 kotları arası 1etap A2 detayı çekirdek perdelerinde segregasyon oluşması ,İmalat Hatası
Kule 17770 kotu 2etap döşemesinde cephe ankrajlarının gömülü kalması yukarda kalması bozuk perdah ,İmalat Hatası
Otopark 12etap zemin kat 7bodrum katlar arası 0102450 FS04 merdiveni kat sahanlıklarına beton dökülmesi temizlik ihtiyacı ,Yapım Yöntemine Uygunsuzluk
P15P16 etap 60 kotu çelik imalat ankraj plakalarının antipas yapılması korumaya alınması ,Malzeme Hatası
Kule 39 kat 1etap 1734017770 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum1 3kat 1790 2290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Demir tezgahı zemin kat saha genelinde aşırı hurda gereksiz demirlerin birikmesi hakkında ,Yapım Yöntemine Uygunsuzluk
Kule 39 kat 2etap 1734017770 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
P16 etap zemin kat 010600 kotları arası döşemekolon kaba yapı kusurları ,İmalat Hatası
Asansör perdelerinde silim temizlik tamirat yapılmadan VT02 HIGHRISE kuyu dibi çelik döşeme imalatına başlanılması ,Yapım Yöntemine Uygunsuzluk
Podyum1 4kat 2290 2720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum2 4kat 2290 2720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum2 3150 döşeme altı beton temizliği hakkında ,Yapım Yöntemine Uygunsuzluk
Asansör kuyu dibi çelik döşeme imalatında kullanılan mekanik dübel hk ,Malzeme Hatası
Kule 40 kat 1etap 1777018200 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
B blok kule VT06 asansör kuyusu çelik imalatı hakkında ,İmalat Hatası
VT04 asansör kuyu dibi çelik döşemesinde guseli taşıyıcı kirişin terazisiz olması şekilde üzerindeki HEB300 kirişlerin sabitlenmeye çalışılması döşeme üzerine üst katlardan beton akması ,İmalat Hatası
P2 etap 1kat 6801290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum2 3150 kotu döşeme rezervasyonu hakkında ,İmalat Hatası
VT06 asansörü çelik imalatı kaynakları hakkında ,İmalat Hatası
VT02 asansörü zemin kat çelik imalatı mekanik dübelleri hakkında ,İmalat Hatası
Ayrık podyum FS03 merdiveni 7bodrum kat  2normal katlar arası 24501290 sahanlıklara basamaklara beton dökülmesi temizlik ihtiyacı ,Yapım Yöntemine Uygunsuzluk
Otopark 6bodrum kat 15 16 etap tamirat silim işleri yapılmadan mekanik imalatların yapılması ,Yapım Yöntemine Uygunsuzluk
P1 etap 1kat 6801290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Asansör kuyu içleri sıva tamiratının eksik yapılması hakkında ,İmalat Hatası
Kule 40 kat 2etap 1777018200 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 41 kat 1etap 1777018200 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,Yapım Yöntemine Uygunsuzluk
VT07 asansör kuyu içleri sıva tamiratının eksik yapılması hakkında ,İmalat Hatası
P1 etap 2kat 12901790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Otopark 3bodrum kat 15 16 etap tamirat silim işleri yapılmadan mekanik imalatların yapılması ,Yapım Yöntemine Uygunsuzluk
Otopark 2bodrum kat 12 13 etap tamirat silim işleri yapılmadan mekanik imalatların yapılması ,Yapım Yöntemine Uygunsuzluk
Kule 41 kat 2etap 1777018200 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT09 asansörü çelik imalatı hk ,İmalat Hatası
Ayrık podyum 2 etap 2kat 12901790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
FS04 merdiveni zemin kat 5katları arası kaba yapı kusurları uygunsuzlukları ,İmalat Hatası
Podyum2 6kat 3150 3580 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
VT08 asansörü çelik imalatı hk ,İmalat Hatası
Ayrık podyum 3 etap 2kat 12901790 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Podyum2 5kat 2720 3150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum1 5kat 2720 3150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
VT080910 Asansörleri Makine Dairesi Monoray Çelik İmalatında VT09 Asansörü Kuyu İçi Çelik İmalatında Onaysız Mekanik Dübel Kullanılması ,Malzeme Hatası
Kule 42 kat 1etap 1863019060 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,Malzeme Hatası
Kule 42 kat 2etap 1863019060 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,Malzeme Hatası
VT08VT10 Asansörleri Kuyu İçi Çelik İmalatında Onaysız Mekanik Dübel Kullanılması ,Malzeme Hatası
Onaysız mekanik dübel kullanılması hakkında ,Malzeme Hatası
VT0203040607 asansörü kuyu dibi antipas boya imalatı hakkında ,Yapım Yöntemine Uygunsuzluk
VT0203040607 asansörü kuyu dibi antipas boya imalatı hakkında ,Yapım Yöntemine Uygunsuzluk
VT0203040607 asansörü kuyu dibi çelik imalatında kullanılan pullar hakkında ,İmalat Hatası
VT06 asansör kuyu dibi taşıyıcı guse profilin epoksili tij imalatı hakkında ,İmalat Hatası
VT06 asansör kuyu dibi taşıyıcı guse profilin shimlenmesi hakkında ,İmalat Hatası
VT07 asansör kuyu dibi taşıyıcı guse profilin shimlenmesi hakkında ,İmalat Hatası
VT06 VT07 asansörü 1bodrum kat kuyu içi tamiratı hakkında ,İmalat Hatası
Ayrık podyum 1 etap 3kat 17902290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 2 etap 3kat 17902290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT080910 Asansör Makine Dairesi Monoray İmalatı Hk ,İmalat Hatası
VT09 asansörü dikey çelik profili tutan ankraj L boyunun uzaması sebebiyle sistemin burulmaya karşı zayıflaması yapım yöntemi hk ,İmalat Hatası
VT06 asansör kuyu dibi taşıyıcı guse profilin epoksi imalatı hakkında ,İmalat Hatası
VT07 asansör kuyu dibi taşıyıcı guse profilin epoksi imalatı hakkında ,İmalat Hatası
VT07 asansör kuyu dibi HEB300 profil imalatı hakkında ,İmalat Hatası
VT10 asansörü kuyu içi 27kat çelik imalatı hk ,İmalat Hatası
Giriş Tagı Ankrajlarının Korumaya Alınmaması Paslanması ,Malzeme Hatası
Otopark 2bodrum 4bodrum kat 15 16 etap tamirat silim işleri yapılmadan mekanikelektrik imalatların yapılması ,Malzeme Hatası
VT06VT14VT15 asansörleri kuyu içi dikey çelik profillerin ipindeterazisinde yapılmaması ,İmalat Hatası
Kule bitişik P8 etap 1790 kotu döşemesi soğuk derzlerden önceki döşeme tarafına beton sızıntısı kısmen diş oluşması ,İmalat Hatası
Kule 9kat 4440 kotu ön cephe çelik döşeme uzatma bağlantı eksikleri ,İmalat Hatası
Kule 43 kat 1etap 1906019490 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT06VT07 asansörleri makine dairesi monoray kiriş dübellerinin betona proje ölçüsünden girmesi ,İmalat Hatası
Kule 43 kat 2etap 1906019490 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 3 etap 3kat 17902290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 4kat 1 etap 22902720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 4kat 2 etap 22902720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule bitişik podyum etap 2720 kotu döşemesinde cephe ankraj kanalı etrafı betonun yüksek düşük dökülmesi ankrajların yukarda gömülü kalması hk ,İmalat Hatası
Kule bitişik podyum etap 2720 kotu döşemesinde üst konsol donatısının açıkta kalması hk ,İmalat Hatası
Kule bitişik podyum etap 3kat 17902290 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT15 Asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
Podyum1 7kat 3580 4010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
Podyum2 7kat 3580 4010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları kaba yapı uygunsuzlukları ,İmalat Hatası
VT06 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
Ayrık podyum1 3150 kotu cephe ankraj etrafı betonun yüksek düşük dökülmesi ankrajların yukarda gömülü kalması etrafının perdahının bozuk yapılması ,İmalat Hatası
Ayrık podyum 4kat 3 etap 22902720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule bitişik podyum etap 4kat 22902720 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 5kat 1 etap 27203150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT14 Asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT15 Asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT12 asansörü L ankraj plakalarının ölçülerinin projeye uygun olmaması ,İmalat Hatası
AYBE İLE 8K1B3 aksları arası 600 kotu çelik döşeme imalatı hk ,İmalat Hatası
VT16 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT05 asansörü dikey çelik imalatı hakkında ,İmalat Hatası
VT04 asansörü çelik imalatında eksik yapılan antipas boya hakkında ,İmalat Hatası
VT020304 asansörleri HEA160 profillerin temizliği hakkında ,İmalat Hatası
VT13 asansörü L plaka imalatı hakkında ,İmalat Hatası
VT15 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT16 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT17 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
17kat VT0607 asansörü makine dairesi monoray imalatı hakkında ,İmalat Hatası
VT234678910 asansör kuyu döşemelerinde çelik profillerin paslanması üzerlerine beton dökülmesi ,İmalat Hatası
7bodrum kat su toplama kuyusu iç kalıplarının temizliği hakkında ,İmalat Hatası
Ayrık podyum 5kat 2 etap 27203150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 5kat 3 etap 27203150 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Ayrık podyum 6kat 3580 kotu 1 etap döşemesinde kiriş yan kalıbının açması betonunun şişmesi döşemenin düşük kalması ,İmalat Hatası
Kule bitişik podyum 8etap 5kat 27203150 kotları arası kolon döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
VT06VT07 Mid Rise asansör makine dairesi monoray kirişlerinin bazılarının küçük kesilmesi ankraj plakası arasında boşluk kalması ,İmalat Hatası
Kule 44 kat 1etap 1949019920 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
5bodrum kat yükleme rampası filizleri hakkında ,İmalat Hatası
5bodrum kat yükleme rampası filizleri hakkında ,İmalat Hatası
VT14 asansörü kuyu dibi çelik imalatı antipas boya hakkında ,İmalat Hatası
VT14 asansörü çelik imalatı temizliği hakkında ,İmalat Hatası
Ayrık podyum 6kat 1 etap 31503580 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT1213 asansörleri kalıpların tam sökülmemesi hakkında ,İmalat Hatası
VT14 asansörü cıvata somun torklaması hakkında ,İmalat Hatası
Kule 1 2 Boğumda Cephe Ankraj Kanallarının Paslanması ,İmalat Hatası
VT09 asansörü kuyu içi çelik imalatında boya eksikleri profil üzerine harç dökülmesi ,İmalat Hatası
VT08VT09 asansör kuyu dibi döşemelerinde baklava sacların paslanması ,İmalat Hatası
1bodrum kat tavanı 010 kotu döşemesinde aşırı çatlak oluşması ,İmalat Hatası
VT02 asansör kuyu dibi döşemesinde baklava sacların altına antipas boyası yapılmadan yerine konulması ,İmalat Hatası
VT03 asansör kuyu dibi döşemesinde baklava sacların altına antipas boyası yapılmadan yerine konulması ,İmalat Hatası
VT04 asansör kuyu dibi çelik döşemesinde beton döküntüleri temizlenmeden profil üstü antipas yapılmadan baklava sacların konulması ,İmalat Hatası
VT20 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT10 asansör kuyu dibi çelik döşemesinde çelik profillerin üstünün baklava sacların altının antipas yapılmadan konulması ,İmalat Hatası
Kule bitişik podyum 8etap 6kat 31503550 kotları arası kolon döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
